team1,team2,toss_winner,winner,venue,match_type,season
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,Cape Town,League,2009
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Cape Town,League,2009
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Port Elizabeth,League,2009
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Durban,League,2009
Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,Deccan Chargers,Cape Town,League,2009
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Durban,League,2009
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,,Cape Town,League,2009
Royal Challengers Bengaluru,Kings XI Punjab,Royal Challengers Bengaluru,Kings XI Punjab,Durban,League,2009
Deccan Chargers,Mumbai Indians,Deccan Chargers,Deccan Chargers,Durban,League,2009
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Cape Town,League,2009
Royal Challengers Bengaluru,Delhi Daredevils,Royal Challengers Bengaluru,Delhi Daredevils,Port Elizabeth,League,2009
Chennai Super Kings,Deccan Chargers,Deccan Chargers,Deccan Chargers,Durban,League,2009
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,Port Elizabeth,League,2009
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Centurion,League,2009
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bengaluru,Durban,League,2009
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Durban,League,2009
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Centurion,League,2009
Deccan Chargers,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Centurion,League,2009
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,East London,League,2009
Royal Challengers Bengaluru,Kings XI Punjab,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Durban,League,2009
Deccan Chargers,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,Port Elizabeth,League,2009
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Chennai Super Kings,Johannesburg,League,2009
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Port Elizabeth,League,2009
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Royal Challengers Bengaluru,Johannesburg,League,2009
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,East London,League,2009
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Durban,League,2009
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,Durban,League,2009
Deccan Chargers,Mumbai Indians,Deccan Chargers,Deccan Chargers,Centurion,League,2009
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Centurion,League,2009
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Centurion,League,2009
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Delhi Daredevils,East London,League,2009
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Kimberley,League,2009
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Kimberley,League,2009
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai Indians,Port Elizabeth,League,2009
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Johannesburg,League,2009
Deccan Chargers,Rajasthan Royals,Deccan Chargers,Deccan Chargers,Kimberley,League,2009
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Centurion,League,2009
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Centurion,League,2009
Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,Durban,League,2009
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bengaluru,Durban,League,2009
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Durban,League,2009
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Bloemfontein,League,2009
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Port Elizabeth,League,2009
