team1,team2,toss_winner,winner,venue,match_type,season
Kings XI Punjab,Pune Warriors,Kings XI Punjab,Kings XI Punjab,Chandigarh,League,2012
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Kolkata,League,2012
Pune Warriors,Chennai Super Kings,Chennai Super Kings,Pune Warriors,Pune,League,2012
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Bengaluru,League,2012
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kolkata,League,2012
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Mumbai,League,2012
Rajasthan Royals,Deccan Chargers,Deccan Chargers,Rajasthan Royals,Jaipur,League,2012
Royal Challengers Bengaluru,Pune Warriors,Pune Warriors,Royal Challengers Bengaluru,Bengaluru,League,2012
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Chandigarh,League,2012
Chennai Super Kings,Pune Warriors,Pune Warriors,Chennai Super Kings,Chennai,League,2012
Delhi Daredevils,Deccan Chargers,Deccan Chargers,Delhi Daredevils,Delhi,League,2012
Kings XI Punjab,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Chandigarh,League,2012
Delhi Daredevils,Pune Warriors,Delhi Daredevils,Pune Warriors,Delhi,League,2012
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Chennai,League,2012
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Cuttack,League,2012
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Mumbai,League,2012
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Jaipur,League,2012
Pune Warriors,Delhi Daredevils,Pune Warriors,Delhi Daredevils,Pune,League,2012
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Chandigarh,League,2012
Pune Warriors,Deccan Chargers,Deccan Chargers,Deccan Chargers,Pune,League,2012
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Delhi Daredevils,Delhi,League,2012
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Chennai,League,2012
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2012
Mumbai Indians,Deccan Chargers,Mumbai Indians,Mumbai Indians,Mumbai,League,2012
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Delhi,League,2012
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai,League,2012
Deccan Chargers,Pune Warriors,Deccan Chargers,Deccan Chargers,Cuttack,League,2012
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Jaipur,League,2012
Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Bengaluru,League,2012
Pune Warriors,Mumbai Indians,Mumbai Indians,Mumbai Indians,Pune,League,2012
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,Chennai,League,2012
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Chandigarh,League,2012
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2012
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai,League,2012
Royal Challengers Bengaluru,Deccan Chargers,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2012
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi,League,2012
Pune Warriors,Rajasthan Royals,Pune Warriors,Rajasthan Royals,Pune,League,2012
Deccan Chargers,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,Hyderabad,League,2012
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mumbai,League,2012
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Jaipur,League,2012
Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,Hyderabad,League,2012
Pune Warriors,Royal Challengers Bengaluru,Pune Warriors,Royal Challengers Bengaluru,Pune,League,2012
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Chennai,League,2012
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,Kolkata,League,2012
Rajasthan Royals,Pune Warriors,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2012
Kings XI Punjab,Deccan Chargers,Deccan Chargers,Kings XI Punjab,Chandigarh,League,2012
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Kolkata,League,2012
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai Indians,Bengaluru,League,2012
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Delhi Daredevils,Delhi,League,2012
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai,League,2012
Delhi Daredevils,Royal Challengers Bengaluru,Delhi Daredevils,Royal Challengers Bengaluru,Delhi,League,2012
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Dharamsala,League,2012
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Deccan Chargers,Hyderabad,League,2012
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Dharamsala,League,2012
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Pune,League,2012
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Jaipur,League,2012
Deccan Chargers,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Deccan Chargers,Hyderabad,League,2012
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Pune,Qualifier 1,2012
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Bengaluru,Elimination Final,2012
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Chennai,Qualifier 2,2012
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Chennai,Final,2012
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2013
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Royal Challengers Bengaluru,Bengaluru,League,2013
Sunrisers Hyderabad,Pune Warriors,Pune Warriors,Sunrisers Hyderabad,Hyderabad,League,2013
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Chennai,League,2013
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Delhi,League,2013
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,,Hyderabad,League,2013
Pune Warriors,Kings XI Punjab,Pune Warriors,Kings XI Punjab,Pune,League,2013
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Jaipur,League,2013
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Mumbai Indians,Mumbai,League,2013
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Bengaluru,League,2013
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Chandigarh,League,2013
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2013
Pune Warriors,Rajasthan Royals,Rajasthan Royals,Pune Warriors,Pune,League,2013
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Delhi,League,2013
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Chennai,League,2013
Mumbai Indians,Pune Warriors,Mumbai Indians,Mumbai Indians,Mumbai,League,2013
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2013
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2013
Chennai Super Kings,Pune Warriors,Pune Warriors,Pune Warriors,Chennai,League,2013
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Chandigarh,League,2013
Royal Challengers Bengaluru,Delhi Daredevils,Royal Challengers Bengaluru,,Bengaluru,League,2013
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2013
Pune Warriors,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,Pune,League,2013
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Delhi,League,2013
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,League,2013
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata,League,2013
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2013
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Delhi Daredevils,Delhi,League,2013
Kings XI Punjab,Pune Warriors,Kings XI Punjab,Kings XI Punjab,Chandigarh,League,2013
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Chennai,League,2013
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Delhi,League,2013
Royal Challengers Bengaluru,Pune Warriors,Pune Warriors,Royal Challengers Bengaluru,Bengaluru,League,2013
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata,League,2013
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai,League,2013
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Kolkata,League,2013
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Jaipur,League,2013
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai,League,2013
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Chennai,League,2013
Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Raipur,League,2013
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Mumbai Indians,Mumbai,League,2013
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2013
Pune Warriors,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Pune,League,2013
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,Raipur,League,2013
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,League,2013
Pune Warriors,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Pune,League,2013
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Chennai,League,2013
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Kolkata,League,2013
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Sunrisers Hyderabad,Hyderabad,League,2013
Rajasthan Royals,Pune Warriors,Pune Warriors,Rajasthan Royals,Jaipur,League,2013
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai,League,2013
Kings XI Punjab,Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,Chandigarh,League,2013
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Jaipur,League,2013
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai,League,2013
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,League,2013
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Pune,League,2013
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Chandigarh,League,2013
Delhi Daredevils,Royal Challengers Bengaluru,Delhi Daredevils,Royal Challengers Bengaluru,Delhi,League,2013
Pune Warriors,Mumbai Indians,Pune Warriors,Mumbai Indians,Pune,League,2013
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,League,2013
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2013
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Ranchi,League,2013
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai,League,2013
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Chennai,League,2013
Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Bengaluru,League,2013
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Mumbai,League,2013
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Pune Warriors,Ranchi,League,2013
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Dharamsala,League,2013
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,League,2013
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bengaluru,Bengaluru,League,2013
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Dharamsala,League,2013
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,League,2013
Pune Warriors,Delhi Daredevils,Pune Warriors,Pune Warriors,Pune,League,2013
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Delhi,Qualifier 1,2013
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Delhi,Eliminator,2013
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Kolkata,Qualifier 2,2013
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Kolkata,Final,2013
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Abu Dhabi,League,2014
Delhi Daredevils,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,,League,2014
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Abu Dhabi,League,2014
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Abu Dhabi,League,2014
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,,League,2014
Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,,League,2014
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,,League,2014
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Abu Dhabi,League,2014
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,,League,2014
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,,League,2014
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,,League,2014
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,,League,2014
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,,League,2014
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Abu Dhabi,League,2014
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Abu Dhabi,League,2014
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,,League,2014
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Delhi Daredevils,,League,2014
Kings XI Punjab,Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,,League,2014
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,,Abu Dhabi,League,2014
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,,League,2014
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Ranchi,League,2014
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Mumbai,League,2014
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Delhi,League,2014
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2014
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Delhi,League,2014
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Ahmedabad,League,2014
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mumbai Indians,Mumbai,League,2014
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Cuttack,League,2014
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi,League,2014
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Ahmedabad,League,2014
Royal Challengers Bengaluru,Kings XI Punjab,Royal Challengers Bengaluru,Kings XI Punjab,Bengaluru,League,2014
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Mumbai,League,2014
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi,League,2014
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Bengaluru,League,2014
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Cuttack,League,2014
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,League,2014
Royal Challengers Bengaluru,Delhi Daredevils,Delhi Daredevils,Royal Challengers Bengaluru,Bengaluru,League,2014
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Ranchi,League,2014
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Cuttack,League,2014
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Hyderabad,League,2014
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Ahmedabad,League,2014
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Ranchi,League,2014
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,League,2014
Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai Indians,Ahmedabad,League,2014
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Delhi,League,2014
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2014
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,Hyderabad,League,2014
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Mumbai Indians,Chandigarh,League,2014
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata,League,2014
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Ranchi,League,2014
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Chandigarh,League,2014
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Mumbai,League,2014
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Bengaluru,League,2014
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2014
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Chandigarh,League,2014
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai,League,2014
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kolkata,Qualifier 1,2014
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai,Eliminator,2014
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Mumbai,Qualifier 2,2014
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Bengaluru,Final,2014
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2015
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Chennai Super Kings,Chennai,League,2015
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Pune,League,2015
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai,League,2015
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kolkata,League,2015
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Mumbai,League,2015
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Delhi,League,2015
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Bengaluru,League,2015
Rajasthan Royals,Mumbai Indians,Mumbai Indians,Rajasthan Royals,Ahmedabad,League,2015
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Pune,League,2015
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Visakhapatnam,League,2015
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai,League,2015
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Pune,League,2015
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Visakhapatnam,League,2015
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,Ahmedabad,League,2015
Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Bengaluru,League,2015
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Delhi,League,2015
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,,Ahmedabad,League,2015
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Visakhapatnam,League,2015
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Bengaluru,League,2015
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Delhi Daredevils,Delhi,League,2015
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Ahmedabad,League,2015
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Mumbai,League,2015
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Chennai,League,2015
Delhi Daredevils,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Delhi,League,2015
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,League,2015
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Chennai,League,2015
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,,Bengaluru,League,2015
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2015
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Delhi,League,2015
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Mumbai,League,2015
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,League,2015
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2015
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Mumbai,League,2015
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Mumbai Indians,Chandigarh,League,2015
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Chennai,League,2015
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,League,2015
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Mumbai,League,2015
Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bengaluru,Bengaluru,League,2015
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Mumbai,League,2015
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2015
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai,League,2015
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Kolkata,League,2015
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Raipur,League,2015
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mumbai,League,2015
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai,League,2015
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,League,2015
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Delhi Daredevils,Raipur,League,2015
Kings XI Punjab,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kings XI Punjab,Chandigarh,League,2015
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Mumbai,League,2015
Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Hyderabad,League,2015
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Mumbai,League,2015
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Chandigarh,League,2015
Royal Challengers Bengaluru,Delhi Daredevils,Royal Challengers Bengaluru,,Bengaluru,League,2015
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,League,2015
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,Qualifier 1,2015
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Pune,Eliminator,2015
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Ranchi,Qualifier 2,2015
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Kolkata,Final,2015
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,Mumbai,League,2016
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2016
Kings XI Punjab,Gujarat Lions,Gujarat Lions,Gujarat Lions,Chandigarh,League,2016
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Bengaluru,League,2016
